목록,국가,책이름,시리즈,저자,역자,출판사,초판,장서
1-2-1,중,诸葛装神,三国演义之41,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,五丈原,三国演义之42,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,政归司马氏,三国演义之43,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,铁笼山,三国演义之44,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,姜邓斗智,三国演义之45,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,姜维避祸,三国演义之46,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,二士争功,三国演义之47,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,三国归晋,三国演义之48,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,白话三国演义 上,,罗贯中 ,行人 刘文忠,中国青年出版社,,
1-2-1,중,白话三国演义 中,,罗贯中 ,行人 刘文忠,中国青年出版社,,
1-2-1,중,三国演义（图文本 二）,,罗贯中 ,,上海古籍出版社,,
1-2-1,중,三国演义（图文本 三）,,罗贯中 ,,上海古籍出版社,,
1-2-1,중,三国演义 彩绘全本,,金协中 三希堂,,中国书店,2019.5,
1-2-1,중,三国演义 绘图本,,,,上海人民美术出版社,1993.3,1993.8
1-2-1,중,白话三国演义,,罗贯中 ,行人 刘文忠,中国青年出版社,1992.9,
1-2-1,중,三国演义 少儿版,,,,吉林摄影出版社,2000.8,
1-2-1,일한,삼국지 1 도원편,,吉川英治,장현주,더스토리,20203.18,
1-2-1,일,三国志　長坂の攻防,三国志,横山光輝,,潮出版社,1985.6.1,
1-2-1,일,三国志 赤壁の戦,三国志,横山光輝,,潮出版社,1985.6.１,
1-2-1,일,三国志演義 1,,羅貫中,立間祥介,,2019.5.25,2023.9.5
1-2-1,일,三国志演義 2,,羅貫中,立間祥介,,2019.5.26,2023.2.5
1-2-1,일,三国志演義 3,,羅貫中,立間祥介,,2019.6.25,2023.3.15
1-2-1,일,三国志演義 4,,羅貫中,立間祥介,,2019.6.25,2023.9.30
1-2-1,,足本繪圖 삼국지연의 20권(외조부),,,,상해 茂记书莊,1916,
1-2-1,,회도 삼국지연의 16권,,,,鑄記書局,1919,
1-2-1,,增像 全圖 삼국연의 7권,,,,상해 錦章書局,"光绪 癸卯
仲冬",
1-2-1,,"繪圖 東西漢 연의
(서한연의 4권, 동한연의 2권)",,,,상해 光益書局,,
1-2-1,,소설 삼국지,,정비석,,,1985.2.5,
1-2-1,,"삼국연의 상,하",,나관중,李卓吾,黄山书社,1991.4,
1-2-1,,삼국연의,,나관중,모종강,삼민서국,,
1-2-1,,삼국연의,,나관중,,상해古籍出版社,1991.11,1993.12
1-2-1,,"삼국연의 상,하",,나관중,,인민문학출판사,1992,
1-2-1,,삼국연의,,나관중,,齐鲁书社,1992.7,
1-2-1,,삼국연의,,나관중,,江苏古籍出版社,1992.2,
1-2-1,,"삼국지연의 상,하",,나관중,모종강,산동문예출판사,1992.5,
1-2-1,,"삼국지 상,하",,진수찬,,岳麓书社,1990.7,1993.11
1-2-1,,삼국지 今譯,,,,中州古籍出版社,1991.12,
1-2-1,,"白话 삼국지 상,중,하",,나관중,刘文忠,중국청년출판사,1992.9,
1-2-1,,反삼국지,,周大荒,,강담사(동경),1991.9.20,1992.1.20
1-2-1,,"삼국연의 1,2冊",,나관중,모종강,산동인민인쇄창,1991.1,
1-2-1,,삼국연의,,나관중,,文源书局,1976.3,
1-2-1,,삼국연의,,,,联经出版,1980.12,1984
1-2-1,,삼국연의(중국고전문학 독본총서) 전2책,,,,인민문학출판사,1953.11,1973.12
1-2-1,,"삼국지 상,중,하",,나관중,최영해,정음사,1955.6.30,1970.6.30
1-2-1,,"삼국지 10권(2,5권 없음)",,나관중,최영해,정음사,1956.8.20,
1-2-1,,"삼국연의 상,하",,나관중,立間祥介,평범사,1968.1.6,1987.2.27
1-2-1,,삼국지 3권,,나관중,村上知行,河出書房,1968.8.25,1974.4.20
1-2-1,,삼국연의,,나관중,대만화일서국,내몽고인민출판사,1990.8,
1-2-1,,삼국연의 12권,,나관중,,海鸥出版,1975.3,
1-2-1,,삼국연의 회화본 5권,,,,상해인민미술출판사,1993.3,1993.8
1-2-1,,삼국지 6권,,나관중,林静,大原출판사,1990.9.10,1991.6.31
1-2-1,,삼국연의,,,,대만종문출판사,,
1-2-2 해설&평론,,,,,,,,
